trip_id,trip_start_timestamp,trip_end_timestamp,driver_id,driver_name,source_location_address1,source_city,source_province_state,source_country,destination_location_address1,destination_city,destination_province_state,destination_country,total_distance,total_fare,trip_status,delay_start_time_mins,payment_method,payment_Status,customer_id,customer_name
40,2022-12-07T11:17:52.9070000,2022-12-07T13:17:52.9070000,A40,Ramesh,,Salem,TN,India,,Hosur,KN,India,342,1020,Completed,10,Credit/Online Banking,Confirmation awaiting from third party,1,ABC39
41,2022-12-07T13:17:52.9070000,2022-12-07T15:17:52.9070000,A1,Rama,,Hyderabad,TS,India,,Vijayawada,AP,India,350,535,Completed,3,Credit/Online Banking,Confirmation awaiting from third party,2,ABC0
42,2022-12-07T15:17:52.9070000,2022-12-07T17:17:52.9070000,A2,Sam,,Delhi,NCR,India,,Agra,UP,India,148,1099,Completed,9,Cash,Cleared,3,ABC1
43,2022-12-07T17:17:52.9070000,2022-12-07T19:17:52.9070000,A3,Kevin,,Chennai,TN,India,,Salem,TN,India,253,360,Completed,2,Credit/Online Banking,Confirmation awaiting from third party,4,ABC2
44,2022-12-07T19:17:52.9070000,2022-12-07T21:17:52.9070000,A4,Aaditya,,Madurai,TN,India,,Trichy,TN,India,300,112,Completed,7,Wallet,Completed,5,ABC3
45,2022-12-07T21:17:52.9070000,2022-12-07T23:17:52.9070000,A5,Sagar,,Bangalore,KN,India,,Chennai,TN,India,129,250,Completed,8,Credit/Online Banking,Confirmation awaiting from third party,6,ABC4
46,2022-12-07T23:17:52.9070000,2022-12-08T01:17:52.9070000,A6,David,,Agra,UP,India,,Kolkata,WB,India,369,1954,Completed,9,Wallet,Completed,7,ABC5
47,2022-12-08T01:17:52.9070000,2022-12-08T03:17:52.9070000,A7,Nivaan,,"Delhi ",NCR,India,,Mumbai,MH,India,100,556,Completed,0,Wallet,Completed,8,ABC6
48,2022-12-08T03:17:52.9070000,2022-12-08T05:17:52.9070000,A8,Aarav,,Hyderabad,TS,India,,Tirupathi,AP,India,100,277,Completed,6,Cash,Cleared,9,ABC7
49,2022-12-08T05:17:52.9070000,2022-12-08T07:17:52.9070000,A9,Sadru,,Chennai,TN,India,,Tanjavur,TN,India,92,269,Completed,3,Cash,Cleared,10,ABC8
50,2022-12-08T07:17:52.9070000,2022-12-08T09:17:52.9070000,A10,Amith,,Amritsar,Punjab,India,,Delhi,NCR,India,83,930,Completed,1,Credit/Online Banking,Confirmation awaiting from third party,11,ABC9
51,2022-12-08T09:17:52.9070000,2022-12-08T11:17:52.9070000,A11,Ajay,,Kanchipuram,TN,India,,Madurai,TN,India,306,511,Completed,5,Cash,Cleared,12,ABC10
52,2022-12-08T11:17:52.9070000,2022-12-08T13:17:52.9070000,A12,Nihal,,Udupi,KN,India,,Bangalore,KN,India,201,1153,Completed,0,Cash,Cleared,13,ABC11
53,2022-12-08T13:17:52.9070000,2022-12-08T15:17:52.9070000,A13,Saatvik,,Indore,MP,India,,Bhopal,MP,India,162,1025,Completed,3,Wallet,Completed,14,ABC12
54,2022-12-08T15:17:52.9070000,2022-12-08T17:17:52.9070000,A14,Andrew,,Surat,MH,India,,Pune,MH,India,123,1815,Completed,4,Cash,Cleared,15,ABC13
55,2022-12-08T17:17:52.9070000,2022-12-08T19:17:52.9070000,A15,Dinesh,,Hosur,KN,India,,Bangalore,KN,India,387,803,Completed,2,Cash,Cleared,16,ABC14
56,2022-12-08T19:17:52.9070000,2022-12-08T21:17:52.9070000,A16,Stephen,,Kochi,TN,India,,Coimbatore,TN,India,259,1713,Completed,5,Cash,Cleared,17,ABC15
57,2022-12-08T21:17:52.9070000,2022-12-08T23:17:52.9070000,A17,Steves,,Coimbatore,TN,India,,Salem,TN,India,143,300,Completed,1,Cash,Cleared,18,ABC16
58,2022-12-08T23:17:52.9070000,2022-12-09T01:17:52.9070000,A18,Akash,,Tanjavor,TN,India,,Trichy,TN,India,261,201,Completed,6,Wallet,Completed,19,ABC17
59,2022-12-09T01:17:52.9070000,2022-12-09T03:17:52.9070000,A19,Nihit,,Coimbatore,TN,India,,Chennai,TN,India,317,776,Completed,0,Credit/Online Banking,Confirmation awaiting from third party,20,ABC18
60,2022-12-09T03:17:52.9070000,2022-12-09T05:17:52.9070000,A20,Vishal,,Hosur,KN,India,,Salem,TN,India,285,398,Completed,1,Credit/Online Banking,Confirmation awaiting from third party,21,ABC19
61,2022-12-09T05:17:52.9070000,2022-12-09T07:17:52.9070000,A21,Arun,,Vijayawada,AP,India,,Hyderabad,TS,India,240,545,Completed,6,Credit/Online Banking,Confirmation awaiting from third party,22,ABC20
62,2022-12-09T07:17:52.9070000,2022-12-09T09:17:52.9070000,A22,Ganesh,,Agra,UP,India,,Delhi,NCR,India,272,192,Completed,1,Cash,Cleared,23,ABC21
63,2022-12-09T09:17:52.9070000,2022-12-09T11:17:52.9070000,A23,Dhruv,,Salem,TN,India,,Chennai,TN,India,315,1655,Completed,2,Cash,Cleared,24,ABC22
64,2022-12-09T11:17:52.9070000,2022-12-09T13:17:52.9070000,A24,Kumar,,Trichy,TN,India,,Madurai,TN,India,139,332,Completed,4,Cash,Cleared,25,ABC23
65,2022-12-09T13:17:52.9070000,2022-12-09T15:17:52.9070000,A25,Gopal,,Chennai,TN,India,,Bangalore,KN,India,127,939,Completed,0,Cash,Cleared,26,ABC24
66,2022-12-09T15:17:52.9070000,2022-12-09T17:17:52.9070000,A26,Akhil,,Kolkata,WB,India,,Agra,UP,India,247,1083,Completed,2,Wallet,Completed,27,ABC25
67,2022-12-09T17:17:52.9070000,2022-12-09T19:17:52.9070000,A27,Hima,,Mumbai,MH,India,,"Delhi ",NCR,India,219,1987,Completed,9,Cash,Cleared,28,ABC26
68,2022-12-09T19:17:52.9070000,2022-12-09T21:17:52.9070000,A28,Jack,,Tirupathi,AP,India,,Hyderabad,TS,India,349,1641,Completed,8,Wallet,Completed,29,ABC27
69,2022-12-09T21:17:52.9070000,2022-12-09T23:17:52.9070000,A29,Manohar,,Tanjavur,TN,India,,Chennai,TN,India,127,494,Completed,1,Cash,Cleared,30,ABC28
70,2022-12-09T23:17:52.9070000,2022-12-10T01:17:52.9070000,A30,Pavan,,Delhi,NCR,India,,Amritsar,Punjab,India,383,797,Completed,2,Credit/Online Banking,Confirmation awaiting from third party,31,ABC29
71,2022-12-10T01:17:52.9070000,2022-12-10T03:17:52.9070000,A31,Nikshit,,Madurai,TN,India,,Kanchipuram,TN,India,397,12,Completed,5,Wallet,Completed,32,ABC30
72,2022-12-10T03:17:52.9070000,2022-12-10T05:17:52.9070000,A32,Rahul,,Bangalore,KN,India,,Udupi,KN,India,281,1050,Completed,1,Cash,Cleared,33,ABC31
73,2022-12-10T05:17:52.9070000,2022-12-10T07:17:52.9070000,A33,Umesh,,Bhopal,MP,India,,Indore,MP,India,102,940,Completed,1,Wallet,Completed,34,ABC32
74,2022-12-10T07:17:52.9070000,2022-12-10T09:17:52.9070000,A34,Pranav,,Pune,MH,India,,Surat,MH,India,304,481,Completed,5,Credit/Online Banking,Confirmation awaiting from third party,35,ABC33
75,2022-12-10T09:17:52.9070000,2022-12-10T11:17:52.9070000,A35,Surya,,Bangalore,KN,India,,Hosur,KN,India,153,665,Completed,4,Cash,Cleared,36,ABC34
76,2022-12-10T11:17:52.9070000,2022-12-10T13:17:52.9070000,A36,Kapil,,Coimbatore,TN,India,,Kochi,TN,India,146,1229,Completed,8,Cash,Cleared,37,ABC35
77,2022-12-10T13:17:52.9070000,2022-12-10T15:17:52.9070000,A37,Suresh,,Salem,TN,India,,Coimbatore,TN,India,344,58,Completed,4,Credit/Online Banking,Confirmation awaiting from third party,38,ABC36
78,2022-12-10T15:17:52.9070000,2022-12-10T17:17:52.9070000,A38,Ranjith,,Trichy,TN,India,,Tanjavor,TN,India,257,433,Completed,10,Wallet,Completed,39,ABC37
79,2022-12-10T17:17:52.9070000,2022-12-10T19:17:52.9070000,A39,Sadru,,Chennai,TN,India,,Coimbatore,TN,India,397,1891,Completed,7,Credit/Online Banking,Confirmation awaiting from third party,1,ABC38
80,2022-12-10T19:17:52.9070000,2022-12-10T21:17:52.9070000,A40,Ramesh,,Salem,TN,India,,Hosur,KN,India,152,1118,Completed,0,Wallet,Completed,2,ABC39
81,2022-12-10T21:17:52.9070000,2022-12-10T23:17:52.9070000,A1,Rama,,Hyderabad,TS,India,,Vijayawada,AP,India,361,1591,Completed,8,Cash,Cleared,3,ABC0
82,2022-12-10T23:17:52.9070000,2022-12-11T01:17:52.9070000,A2,Sam,,Delhi,NCR,India,,Agra,UP,India,367,254,Completed,10,Credit/Online Banking,Confirmation awaiting from third party,4,ABC1
83,2022-12-11T01:17:52.9070000,2022-12-11T03:17:52.9070000,A3,Kevin,,Chennai,TN,India,,Salem,TN,India,164,97,Completed,2,Cash,Cleared,5,ABC2
84,2022-12-11T03:17:52.9070000,2022-12-11T05:17:52.9070000,A4,Aaditya,,Madurai,TN,India,,Trichy,TN,India,111,1378,Completed,8,Credit/Online Banking,Confirmation awaiting from third party,6,ABC3
85,2022-12-11T05:17:52.9070000,2022-12-11T07:17:52.9070000,A5,Sagar,,Bangalore,KN,India,,Chennai,TN,India,303,376,Completed,8,Wallet,Completed,7,ABC4
86,2022-12-11T07:17:52.9070000,2022-12-11T09:17:52.9070000,A6,David,,Agra,UP,India,,Kolkata,WB,India,131,792,Completed,0,Wallet,Completed,8,ABC5
87,2022-12-11T09:17:52.9070000,2022-12-11T11:17:52.9070000,A7,Nivaan,,"Delhi ",NCR,India,,Mumbai,MH,India,281,996,Completed,0,Wallet,Completed,9,ABC6
88,2022-12-11T11:17:52.9070000,2022-12-11T13:17:52.9070000,A8,Aarav,,Hyderabad,TS,India,,Tirupathi,AP,India,190,1764,Completed,9,Wallet,Completed,10,ABC7
89,2022-12-11T13:17:52.9070000,2022-12-11T15:17:52.9070000,A9,Sadru,,Chennai,TN,India,,Tanjavur,TN,India,91,1629,Completed,3,Cash,Cleared,11,ABC8
90,2022-12-11T15:17:52.9070000,2022-12-11T17:17:52.9070000,A10,Amith,,Amritsar,Punjab,India,,Delhi,NCR,India,326,1150,Completed,5,Credit/Online Banking,Confirmation awaiting from third party,12,ABC9
91,2022-12-11T17:17:52.9070000,2022-12-11T19:17:52.9070000,A11,Ajay,,Kanchipuram,TN,India,,Madurai,TN,India,56,1697,Completed,0,Cash,Cleared,13,ABC10
92,2022-12-11T19:17:52.9070000,2022-12-11T21:17:52.9070000,A12,Nihal,,Udupi,KN,India,,Bangalore,KN,India,200,1350,Completed,10,Cash,Cleared,14,ABC11
93,2022-12-11T21:17:52.9070000,2022-12-11T23:17:52.9070000,A13,Saatvik,,Indore,MP,India,,Bhopal,MP,India,293,1713,Completed,4,Wallet,Completed,15,ABC12
94,2022-12-11T23:17:52.9070000,2022-12-12T01:17:52.9070000,A14,Andrew,,Surat,MH,India,,Pune,MH,India,53,1424,Completed,6,Cash,Cleared,16,ABC13
95,2022-12-12T01:17:52.9070000,2022-12-12T03:17:52.9070000,A15,Dinesh,,Hosur,KN,India,,Bangalore,KN,India,295,1395,Completed,6,Cash,Cleared,17,ABC14
96,2022-12-12T03:17:52.9070000,2022-12-12T05:17:52.9070000,A16,Stephen,,Kochi,TN,India,,Coimbatore,TN,India,238,200,Completed,1,Cash,Cleared,18,ABC15
97,2022-12-12T05:17:52.9070000,2022-12-12T07:17:52.9070000,A17,Steves,,Coimbatore,TN,India,,Salem,TN,India,323,1106,Completed,5,Wallet,Completed,19,ABC16
98,2022-12-12T07:17:52.9070000,2022-12-12T09:17:52.9070000,A18,Akash,,Tanjavor,TN,India,,Trichy,TN,India,103,23,Completed,1,Credit/Online Banking,Confirmation awaiting from third party,20,ABC17
99,2022-12-12T09:17:52.9070000,2022-12-12T11:17:52.9070000,A19,Nihit,,Coimbatore,TN,India,,Chennai,TN,India,393,438,Completed,5,Credit/Online Banking,Confirmation awaiting from third party,21,ABC18
100,2022-12-12T11:17:52.9070000,2022-12-12T13:17:52.9070000,A20,Vishal,,Hosur,KN,India,,Salem,TN,India,354,441,Completed,6,Credit/Online Banking,Confirmation awaiting from third party,22,ABC19
101,2022-12-12T13:17:52.9070000,2022-12-12T15:17:52.9070000,A21,Arun,,Vijayawada,AP,India,,Hyderabad,TS,India,324,1420,Completed,6,Wallet,Completed,23,ABC20
102,2022-12-12T15:17:52.9070000,2022-12-12T17:17:52.9070000,A22,Ganesh,,Agra,UP,India,,Delhi,NCR,India,218,114,Completed,9,Credit/Online Banking,Confirmation awaiting from third party,24,ABC21
103,2022-12-12T17:17:52.9070000,2022-12-12T19:17:52.9070000,A23,Dhruv,,Salem,TN,India,,Chennai,TN,India,101,91,Completed,9,Credit/Online Banking,Confirmation awaiting from third party,25,ABC22
104,2022-12-12T19:17:52.9070000,2022-12-12T21:17:52.9070000,A24,Kumar,,Trichy,TN,India,,Madurai,TN,India,388,225,Completed,6,Credit/Online Banking,Confirmation awaiting from third party,26,ABC23
105,2022-12-12T21:17:52.9070000,2022-12-12T23:17:52.9070000,A25,Gopal,,Chennai,TN,India,,Bangalore,KN,India,263,859,Completed,10,Wallet,Completed,27,ABC24
106,2022-12-12T23:17:52.9070000,2022-12-13T01:17:52.9070000,A26,Akhil,,Kolkata,WB,India,,Agra,UP,India,133,1031,Completed,4,Cash,Cleared,28,ABC25
107,2022-12-13T01:17:52.9070000,2022-12-13T03:17:52.9070000,A27,Hima,,Mumbai,MH,India,,"Delhi ",NCR,India,165,519,Completed,7,Wallet,Completed,29,ABC26
108,2022-12-13T03:17:52.9070000,2022-12-13T05:17:52.9070000,A28,Jack,,Tirupathi,AP,India,,Hyderabad,TS,India,208,118,Completed,4,Credit/Online Banking,Confirmation awaiting from third party,30,ABC27
109,2022-12-13T05:17:52.9070000,2022-12-13T07:17:52.9070000,A29,Manohar,,Tanjavur,TN,India,,Chennai,TN,India,81,555,Completed,5,Cash,Cleared,31,ABC28
110,2022-12-13T07:17:52.9070000,2022-12-13T09:17:52.9070000,A30,Pavan,,Delhi,NCR,India,,Amritsar,Punjab,India,319,1146,Completed,6,Cash,Cleared,32,ABC29
111,2022-12-13T09:17:52.9070000,2022-12-13T11:17:52.9070000,A31,Nikshit,,Madurai,TN,India,,Kanchipuram,TN,India,277,1341,Completed,9,Cash,Cleared,33,ABC30
112,2022-12-13T11:17:52.9070000,2022-12-13T13:17:52.9070000,A32,Rahul,,Bangalore,KN,India,,Udupi,KN,India,130,753,Completed,7,Credit/Online Banking,Confirmation awaiting from third party,34,ABC31
113,2022-12-13T13:17:52.9070000,2022-12-13T15:17:52.9070000,A33,Umesh,,Bhopal,MP,India,,Indore,MP,India,159,47,Completed,8,Credit/Online Banking,Confirmation awaiting from third party,35,ABC32
114,2022-12-13T15:17:52.9070000,2022-12-13T17:17:52.9070000,A34,Pranav,,Pune,MH,India,,Surat,MH,India,153,533,Completed,9,Credit/Online Banking,Confirmation awaiting from third party,36,ABC33
115,2022-12-13T17:17:52.9070000,2022-12-13T19:17:52.9070000,A35,Surya,,Bangalore,KN,India,,Hosur,KN,India,239,665,Completed,8,Wallet,Completed,37,ABC34
116,2022-12-13T19:17:52.9070000,2022-12-13T21:17:52.9070000,A36,Kapil,,Coimbatore,TN,India,,Kochi,TN,India,87,659,Completed,1,Wallet,Completed,38,ABC35
117,2022-12-13T21:17:52.9070000,2022-12-13T23:17:52.9070000,A37,Suresh,,Salem,TN,India,,Coimbatore,TN,India,400,1669,Completed,7,Wallet,Completed,39,ABC36
118,2022-12-13T23:17:52.9070000,2022-12-14T01:17:52.9070000,A38,Ranjith,,Trichy,TN,India,,Tanjavor,TN,India,204,1868,Completed,6,Credit/Online Banking,Confirmation awaiting from third party,1,ABC37
119,2022-12-14T01:17:52.9070000,2022-12-14T03:17:52.9070000,A39,Sadru,,Chennai,TN,India,,Coimbatore,TN,India,228,1867,Completed,4,Cash,Cleared,2,ABC38
120,2022-12-14T03:17:52.9070000,2022-12-14T05:17:52.9070000,A40,Ramesh,,Salem,TN,India,,Hosur,KN,India,268,253,Completed,9,Cash,Cleared,3,ABC39
121,2022-12-14T05:17:52.9070000,2022-12-14T07:17:52.9070000,A1,Rama,,Hyderabad,TS,India,,Vijayawada,AP,India,260,1496,Completed,8,Cash,Cleared,4,ABC0
122,2022-12-14T07:17:52.9070000,2022-12-14T09:17:52.9070000,A2,Sam,,Delhi,NCR,India,,Agra,UP,India,191,1604,Completed,9,Wallet,Completed,5,ABC1
123,2022-12-14T09:17:52.9070000,2022-12-14T11:17:52.9070000,A3,Kevin,,Chennai,TN,India,,Salem,TN,India,52,1731,Completed,10,Wallet,Completed,6,ABC2
124,2022-12-14T11:17:52.9070000,2022-12-14T13:17:52.9070000,A4,Aaditya,,Madurai,TN,India,,Trichy,TN,India,369,176,Completed,4,Cash,Cleared,7,ABC3
125,2022-12-14T13:17:52.9070000,2022-12-14T15:17:52.9070000,A5,Sagar,,Bangalore,KN,India,,Chennai,TN,India,348,1381,Completed,5,Cash,Cleared,8,ABC4
126,2022-12-14T15:17:52.9070000,2022-12-14T17:17:52.9070000,A6,David,,Agra,UP,India,,Kolkata,WB,India,233,1756,Completed,3,Wallet,Completed,9,ABC5
127,2022-12-14T17:17:52.9070000,2022-12-14T19:17:52.9070000,A7,Nivaan,,"Delhi ",NCR,India,,Mumbai,MH,India,354,334,Completed,4,Credit/Online Banking,Confirmation awaiting from third party,10,ABC6
128,2022-12-14T19:17:52.9070000,2022-12-14T21:17:52.9070000,A8,Aarav,,Hyderabad,TS,India,,Tirupathi,AP,India,189,29,Completed,5,Cash,Cleared,11,ABC7
129,2022-12-14T21:17:52.9070000,2022-12-14T23:17:52.9070000,A9,Sadru,,Chennai,TN,India,,Tanjavur,TN,India,385,625,Completed,7,Wallet,Completed,12,ABC8
130,2022-12-14T23:17:52.9070000,2022-12-15T01:17:52.9070000,A10,Amith,,Amritsar,Punjab,India,,Delhi,NCR,India,165,1630,Completed,5,Wallet,Completed,13,ABC9
131,2022-12-15T01:17:52.9070000,2022-12-15T03:17:52.9070000,A11,Ajay,,Kanchipuram,TN,India,,Madurai,TN,India,363,1831,Completed,1,Credit/Online Banking,Confirmation awaiting from third party,14,ABC10
132,2022-12-15T03:17:52.9070000,2022-12-15T05:17:52.9070000,A12,Nihal,,Udupi,KN,India,,Bangalore,KN,India,160,105,Completed,2,Wallet,Completed,15,ABC11
133,2022-12-15T05:17:52.9070000,2022-12-15T07:17:52.9070000,A13,Saatvik,,Indore,MP,India,,Bhopal,MP,India,146,1709,Completed,10,Credit/Online Banking,Confirmation awaiting from third party,16,ABC12
134,2022-12-15T07:17:52.9070000,2022-12-15T09:17:52.9070000,A14,Andrew,,Surat,MH,India,,Pune,MH,India,328,1298,Completed,5,Wallet,Completed,17,ABC13
135,2022-12-15T09:17:52.9070000,2022-12-15T11:17:52.9070000,A15,Dinesh,,Hosur,KN,India,,Bangalore,KN,India,344,568,Completed,7,Credit/Online Banking,Confirmation awaiting from third party,18,ABC14
136,2022-12-15T11:17:52.9070000,2022-12-15T13:17:52.9070000,A16,Stephen,,Kochi,TN,India,,Coimbatore,TN,India,53,1035,Completed,0,Wallet,Completed,19,ABC15
137,2022-12-15T13:17:52.9070000,2022-12-15T15:17:52.9070000,A17,Steves,,Coimbatore,TN,India,,Salem,TN,India,85,952,Completed,7,Wallet,Completed,20,ABC16
